index,Name,Date,Open,High,Low,Close,Adj Close,Volume
64,Bank Nifty,2022-10-04,38700.398438,39177.5,38596.898438,39110.050781,39109.597656,241100.0
64,Fin Nifty,2022-09-02,18108.199219,18219.949219,17996.449219,18147.25,18147.25,604800.0
65,Nifty,2022-09-05,17546.449219,17683.150391,17540.349609,17665.800781,17665.800781,230300
65,Bank Nifty,2022-10-06,39343.699219,39608.351563,39232.898438,39282.851563,39282.394531,158800.0
65,Fin Nifty,2022-09-05,18159.199219,18304.800781,18154.449219,18264.900391,18264.900391,515800.0
66,Nifty,2022-09-06,17695.699219,17764.650391,17587.650391,17655.599609,17655.599609,251200
66,Bank Nifty,2022-10-07,39093.5,39235.050781,38807.5,39178.050781,39177.59375,165000.0
66,Fin Nifty,2022-09-06,18301.349609,18385.699219,18162.75,18197.900391,18197.900391,807400.0
67,Nifty,2022-09-07,17519.400391,17650.75,17484.300781,17624.400391,17624.400391,354100
67,Bank Nifty,2022-10-10,38641.550781,39315.699219,38518.300781,39093.101563,39092.648438,159700.0
67,Fin Nifty,2022-09-07,18052.0,18189.050781,18043.25,18140.5,18140.5,588700.0
68,Nifty,2022-09-08,17748.150391,17807.650391,17691.949219,17798.75,17798.75,279800
68,Bank Nifty,2022-10-11,39058.851563,39174.949219,38622.75,38712.449219,38712.0,177600.0
68,Fin Nifty,2022-09-08,18274.400391,18426.949219,18249.75,18409.449219,18409.449219,695000.0
69,Nifty,2022-09-09,17923.349609,17925.949219,17786.0,17833.349609,17833.349609,270300
69,Bank Nifty,2022-10-12,38784.199219,39164.101563,38606.398438,39118.550781,39118.097656,195800.0
69,Fin Nifty,2022-09-09,18537.25,18553.5,18353.75,18383.949219,18383.949219,701700.0
70,Nifty,2022-09-12,17890.849609,17980.550781,17889.150391,17936.349609,17936.349609,228200
70,Bank Nifty,2022-10-13,38957.648438,39061.300781,38437.949219,38624.0,38623.550781,158900.0
70,Fin Nifty,2022-09-12,18427.400391,18494.5,18360.150391,18437.599609,18437.599609,599100.0
71,Nifty,2022-09-13,18044.449219,18088.300781,18015.449219,18070.050781,18070.050781,259900
71,Bank Nifty,2022-10-14,39446.050781,39570.851563,39196.300781,39305.601563,39305.144531,185600.0
71,Fin Nifty,2022-09-13,18571.050781,18638.199219,18544.599609,18605.349609,18605.349609,888000.0
72,Nifty,2022-09-14,17771.150391,18091.550781,17771.150391,18003.75,18003.75,365900
72,Bank Nifty,2022-10-17,39295.601563,39974.699219,39146.699219,39920.449219,39919.984375,201600.0
72,Fin Nifty,2022-09-14,18333.400391,18857.800781,18333.400391,18745.599609,18745.599609,908800.0
73,Nifty,2022-09-15,18046.349609,18096.150391,17861.5,17877.400391,17877.400391,289600
73,Bank Nifty,2022-10-18,40252.050781,40435.351563,40139.851563,40318.75,40318.28125,245200.0
73,Fin Nifty,2022-09-15,18800.75,18923.900391,18609.949219,18654.900391,18654.900391,780100.0
74,Nifty,2022-09-16,17796.800781,17820.050781,17497.25,17530.849609,17530.849609,468500
74,Bank Nifty,2022-10-19,40556.648438,40643.601563,40195.199219,40373.199219,40372.730469,232900.0
74,Fin Nifty,2022-09-16,18545.800781,18599.25,18271.150391,18372.050781,18372.050781,1152900.0
75,Nifty,2022-09-19,17540.650391,17667.199219,17429.699219,17622.25,17622.25,258300
75,Bank Nifty,2022-10-20,40149.5,40208.351563,39848.851563,40099.550781,40099.085938,262800.0
75,Fin Nifty,2022-09-19,18348.599609,18576.0,18274.300781,18492.599609,18492.599609,675100.0
76,Nifty,2022-09-20,17770.400391,17919.300781,17744.400391,17816.25,17816.25,263100
76,Bank Nifty,2022-10-21,40370.75,41032.25,40355.449219,40784.050781,40783.578125,324200.0
76,Fin Nifty,2022-09-20,18656.900391,18842.199219,18614.5,18750.75,18750.75,704200.0
77,Nifty,2022-09-21,17766.349609,17838.699219,17663.599609,17718.349609,17718.349609,245500
77,Bank Nifty,2022-10-24,41348.351563,41427.25,41201.148438,41304.898438,41304.417969,74300.0
77,Fin Nifty,2022-09-21,18664.699219,18774.150391,18518.75,18662.150391,18662.150391,531600.0
78,Nifty,2022-09-22,17609.650391,17722.75,17532.449219,17629.800781,17629.800781,284100
78,Bank Nifty,2022-10-25,41513.648438,41530.648438,41021.449219,41122.75,41122.273438,351800.0
78,Fin Nifty,2022-09-22,18504.949219,18581.5,18274.949219,18403.699219,18403.699219,699200.0
79,Nifty,2022-09-23,17593.849609,17642.150391,17291.650391,17327.349609,17327.349609,390800
79,Bank Nifty,2022-10-27,41440.699219,41511.800781,41178.648438,41299.300781,41298.820313,239400.0
79,Fin Nifty,2022-09-23,18300.199219,18342.550781,17882.800781,17947.25,17947.25,786800.0
80,Nifty,2022-09-26,17156.300781,17196.400391,16978.300781,17016.300781,17016.300781,492000
80,Bank Nifty,2022-10-28,41236.800781,41482.398438,40839.300781,40990.851563,40990.375,237100.0
80,Fin Nifty,2022-09-26,17723.199219,17816.449219,17511.150391,17565.300781,17565.300781,855800.0
81,Nifty,2022-09-27,17110.900391,17176.449219,16942.349609,17007.400391,17007.400391,359900
81,Bank Nifty,2022-10-31,41265.699219,41353.699219,41106.101563,41307.898438,41307.417969,237200.0
81,Fin Nifty,2022-09-27,17636.949219,17737.150391,17361.349609,17424.050781,17424.050781,786700.0
82,Nifty,2022-09-28,16870.550781,17037.599609,16820.400391,16858.599609,16858.599609,323900
82,Bank Nifty,2022-11-01,41552.398438,41677.25,41188.550781,41289.550781,41289.070313,304400.0
82,Fin Nifty,2022-09-28,17301.050781,17449.949219,17155.349609,17210.050781,17210.050781,763700.0
83,Nifty,2022-09-29,16993.599609,17026.050781,16788.599609,16818.099609,16818.099609,340000
83,Bank Nifty,2022-11-02,41472.601563,41474.300781,41060.449219,41146.648438,41146.171875,175800.0
83,Fin Nifty,2022-09-29,17345.099609,17411.800781,17080.699219,17123.0,17123.0,893600.0
84,Nifty,2022-09-30,16798.050781,17187.099609,16747.699219,17094.349609,17094.349609,376100
84,Bank Nifty,2022-11-03,40873.699219,41478.0,40819.148438,41298.351563,41297.871094,263600.0
84,Fin Nifty,2022-09-30,17095.150391,17609.400391,16983.75,17506.650391,17506.650391,928700.0
85,Nifty,2022-10-03,17102.099609,17114.650391,16855.550781,16887.349609,16887.349609,278400
85,Bank Nifty,2022-11-04,41314.851563,41516.199219,41051.148438,41258.449219,41257.96875,190400.0
85,Fin Nifty,2022-10-03,17438.349609,17495.75,17232.300781,17270.199219,17270.199219,607100.0
86,Nifty,2022-10-04,17147.449219,17287.300781,17117.300781,17274.300781,17274.300781,226000
86,Bank Nifty,2022-11-07,41740.648438,41779.398438,41337.050781,41686.699219,41686.214844,393400.0
86,Fin Nifty,2022-10-04,17564.099609,17761.300781,17525.650391,17741.050781,17741.050781,581500.0
87,Nifty,2022-10-06,17379.25,17428.800781,17315.650391,17331.800781,17331.800781,265500
87,Bank Nifty,2022-11-09,41914.851563,41948.898438,41667.898438,41783.199219,41782.714844,490500.0
87,Fin Nifty,2022-10-06,17830.449219,17900.449219,17730.75,17749.050781,17749.050781,704100.0
88,Nifty,2022-10-07,17287.199219,17337.349609,17216.949219,17314.650391,17314.650391,216300
88,Bank Nifty,2022-11-10,41462.851563,41643.898438,41318.601563,41603.75,41603.265625,253400.0
88,Fin Nifty,2022-10-07,17663.550781,17737.75,17579.099609,17707.0,17707.0,579900.0
89,Nifty,2022-10-10,17094.349609,17280.150391,17064.699219,17241.0,17241.0,234000
89,Bank Nifty,2022-11-11,42163.398438,42345.5,41918.101563,42137.050781,42136.5625,255400.0
89,Fin Nifty,2022-10-10,17488.550781,17720.599609,17409.800781,17626.5,17626.5,627800.0
90,Nifty,2022-10-11,17256.050781,17261.800781,16950.300781,16983.550781,16983.550781,282600
90,Bank Nifty,2022-11-14,42177.550781,42231.449219,41965.449219,42076.75,42076.261719,142700.0
90,Fin Nifty,2022-10-11,17591.5,17675.050781,17414.949219,17455.199219,17455.199219,685800.0
91,Nifty,2022-10-12,17025.550781,17142.349609,16960.050781,17123.599609,17123.599609,256000
91,Bank Nifty,2022-11-15,42234.851563,42450.050781,42079.550781,42372.699219,42372.207031,139400.0
91,Fin Nifty,2022-10-12,17472.650391,17624.449219,17421.650391,17603.849609,17603.849609,746800.0
92,Nifty,2022-10-13,17087.349609,17112.349609,16956.949219,17014.349609,17014.349609,266400
92,Bank Nifty,2022-11-16,42371.800781,42611.75,42296.300781,42535.300781,42534.804688,185400.0
92,Fin Nifty,2022-10-13,17520.050781,17552.199219,17316.699219,17389.449219,17389.449219,704900.0
93,Nifty,2022-10-14,17322.300781,17348.550781,17169.75,17185.699219,17185.699219,227000
