,Date,Open,High,Low,Close,Adj Close,Volume
,Date,Open,High,Low,Close,Adj Close,Volume
133,2023-01-12,42238.5,42343.5,41742.949219,42082.25,42082.25,154100.0
134,2022-12-14,18671.25,18696.099609,18632.900391,18660.300781,18660.300781,208000
134,2023-01-13,42171.25,42453.949219,41885.601563,42371.25,42371.25,205500.0
135,2022-12-15,18614.400391,18652.900391,18387.699219,18414.900391,18414.900391,183100
135,2023-01-16,42622.5,42715.648438,42066.550781,42167.550781,42167.550781,312300.0
136,2022-12-16,18319.099609,18440.949219,18255.150391,18269.0,18269.0,277700
136,2023-01-17,42241.199219,42383.800781,41861.101563,42235.050781,42235.050781,256300.0
137,2022-12-19,18288.099609,18431.650391,18244.550781,18420.449219,18420.449219,154800
137,2023-01-18,42271.800781,42555.898438,42119.648438,42458.0,42458.0,170500.0
138,2022-12-20,18340.300781,18404.900391,18202.650391,18385.300781,18385.300781,169000
138,2023-01-19,42416.300781,42506.25,42234.898438,42328.851563,42328.851563,143400.0
139,2022-12-21,18435.150391,18473.349609,18162.75,18199.099609,18199.099609,187600
139,2023-01-20,42516.050781,42709.199219,42366.148438,42506.800781,42506.800781,159100.0
140,2022-12-22,18288.800781,18318.75,18068.599609,18127.349609,18127.349609,195700
140,2023-01-23,42891.449219,43005.851563,42727.699219,42821.25,42821.25,203600.0
141,2022-12-23,17977.650391,18050.449219,17779.5,17806.800781,17806.800781,221500
141,2023-01-24,42994.449219,43078.898438,42615.648438,42733.449219,42733.449219,159500.0
142,2022-12-26,17830.400391,18084.099609,17774.25,18014.599609,18014.599609,176700
142,2023-01-25,42703.601563,42733.050781,41540.300781,41647.648438,41647.648438,244700.0
143,2022-12-27,18089.800781,18149.25,17967.449219,18132.300781,18132.300781,214300
143,2023-01-27,41382.351563,41417.898438,40148.800781,40345.300781,40345.300781,350800.0
144,2022-12-28,18084.75,18173.099609,18068.349609,18122.5,18122.5,193900
144,2023-01-30,39856.148438,40789.550781,39419.800781,40387.449219,40387.449219,369900.0
145,2022-12-29,18045.699219,18229.699219,17992.800781,18191.0,18191.0,281100
145,2023-01-31,40563.851563,40811.648438,40167.699219,40655.050781,40655.050781,289900.0
146,2022-12-30,18259.099609,18265.25,18080.300781,18105.300781,18105.300781,192000
146,2023-02-01,41115.0,42015.648438,39490.5,40513.0,40513.0,400100.0
147,2023-01-02,18131.699219,18215.150391,18086.5,18197.449219,18197.449219,256100
147,2023-02-02,39943.351563,40757.601563,39761.449219,40669.300781,40669.300781,348500.0
148,2023-01-03,18163.199219,18251.949219,18149.800781,18232.550781,18232.550781,208700
148,2023-02-03,41019.351563,41539.949219,40609.75,41499.699219,41499.699219,308800.0
149,2023-01-04,18230.650391,18243.0,18020.599609,18042.949219,18042.949219,235200
149,2023-02-06,41530.148438,41724.5,41261.199219,41374.648438,41374.648438,197800.0
150,2023-01-05,18101.949219,18120.300781,17892.599609,17992.150391,17992.150391,269900
150,2023-02-07,41513.101563,41630.75,41095.101563,41490.949219,41490.949219,171900.0
151,2023-01-06,18008.050781,18047.400391,17795.550781,17859.449219,17859.449219,238200
151,2023-02-08,41542.050781,41791.949219,41403.050781,41537.648438,41537.648438,136500.0
152,2023-01-09,17952.550781,18141.400391,17936.150391,18101.199219,18101.199219,257200
152,2023-02-09,41634.0,41634.0,41252.949219,41554.300781,41554.300781,142900.0
153,2023-01-10,18121.300781,18127.599609,17856.0,17914.150391,17914.150391,283300
153,2023-02-10,41452.398438,41678.898438,41424.898438,41559.398438,41559.398438,155000.0
154,2023-01-11,17924.25,17976.349609,17824.349609,17895.699219,17895.699219,259900
154,2023-02-13,41563.5,41662.550781,41157.898438,41282.199219,41282.199219,147000.0
155,2023-01-12,17920.849609,17945.800781,17761.650391,17858.199219,17858.199219,227800
155,2023-02-14,41410.449219,41718.0,41195.75,41648.351563,41648.351563,143100.0
156,2023-01-13,17867.5,17999.349609,17774.25,17956.599609,17956.599609,256700
156,2023-02-15,41674.601563,41795.449219,41455.601563,41731.050781,41731.050781,116300.0
157,2023-01-16,18033.150391,18049.650391,17853.650391,17894.849609,17894.849609,206200
157,2023-02-16,41925.699219,41979.101563,41521.949219,41631.351563,41631.351563,111700.0
158,2023-01-17,17922.800781,18072.050781,17886.949219,18053.300781,18053.300781,219100
158,2023-02-17,41514.0,41516.300781,40882.699219,41131.75,41131.75,138800.0
159,2023-01-18,18074.300781,18183.75,18032.449219,18165.349609,18165.349609,255800
159,2023-02-20,41221.550781,41292.601563,40580.101563,40701.699219,40701.699219,143700.0
160,2023-01-19,18119.800781,18155.199219,18063.75,18107.849609,18107.849609,237800
160,2023-02-21,40784.898438,40946.199219,40508.25,40673.601563,40673.601563,170200.0
161,2023-01-20,18115.599609,18145.449219,18016.199219,18027.650391,18027.650391,237200
161,2023-02-22,40494.148438,40529.25,39899.0,39995.898438,39995.898438,155200.0
162,2023-01-23,18118.449219,18162.599609,18063.449219,18118.550781,18118.550781,202500
162,2023-02-23,39983.699219,40147.800781,39600.25,40001.550781,40001.550781,200500.0
163,2023-01-24,18183.949219,18201.25,18078.650391,18118.300781,18118.300781,216900
